;BAC;Fin;gen;graines;boite;grain;RANG;boite;rangOK;Debut;X;Y
1184;4;90;ELAX_261.sp;01:06;6;4;H;6;H;4;3;11
338;4;78;ELAX_459.sp;07:12;10Bis;1;G;10Bis;G;1;4;11
1211;4;60;ELAX_353.sp;01:06;8;4;F;8;E;10;5;11
1170;4;6;ELAX_227.sp;01:06;6;4;A;6;A;4;6;11
1163;4;60;ELAX_198.sp;01:06;5;4;F;5;E;10;7;11
339;4;84;ELAX_460.sp;07:12;10Bis;1;H;10Bis;G;7;8;11
266;4;30;ELAX_235.sp;07:12;6Bis;1;C;6Bis;C;1;9;11
1112;4;42;ELAX_69.sp;01:06;2;4;D;2;D;4;10;11
1153;4;96;ELAX_182.sp;01:06;4;4;I;4;H;10;11;11
247;4;12;ELAX_185.sp;07:12;5Bis;1;B;5Bis;A;7;12;11
1199;4;84;ELAX_316.sp;01:06;7;4;H;7;G;10;13;11
1139;4;12;ELAX_122.sp;01:06;4;4;B;4;A;10;14;11
1204;4;18;ELAX_341.sp;01:06;8;4;B;8;B;4;15;11
1224;4;42;ELAX_387.sp;01:06;9;4;D;9;D;4;16;11
1252;4;18;ELAX_469.sp;01:06;11;4;B;11;B;4;1;12
1187;4;12;ELAX_268.sp;01:06;7;4;B;7;A;10;2;12
1106;4;6;ELAX_49.sp;01:06;2;4;A;2;A;4;3;12
1193;4;48;ELAX_298.sp;01:06;7;4;E;7;D;10;4;12
1196;4;66;ELAX_309.sp;01:06;7;4;F;7;F;4;5;12
1254;4;30;ELAX_474.sp;01:06;11;4;C;11;C;4;6;12
1248;4;90;ELAX_461.sp;01:06;10;4;H;10;H;4;7;12
291;4;84;ELAX_316.sp;07:12;7Bis;1;H;7Bis;G;7;8;12
1161;4;48;ELAX_195.sp;01:06;5;4;E;5;D;10;9;12
1235;4;12;ELAX_416.sp;01:06;10;4;B;10;A;10;10;12
1152;4;90;ELAX_179.sp;01:06;4;4;H;4;H;4;11;12
1122;4;6;GQAX_83.sp;01:06;3;4;A;3;A;4;12;12
1150;4;78;GQAX_175.sp;01:06;4;4;G;4;G;4;13;12
1097;4;48;ELAX_27.sp;01:06;1;4;E;1;D;10;14;12
1217;4;96;ELAX_371.sp;01:06;8;4;I;8;H;10;15;12
1159;4;36;ELAX_192.sp;01:06;5;4;D;5;C;10;16;12
1221;4;24;ELAX_377.sp;01:06;9;4;C;9;B;10;1;13
315;4;36;ELAX_385.sp;07:12;9Bis;1;D;9Bis;C;7;2;13
1136;4;90;ELAX_118.sp;01:06;3;4;H;3;H;4;3;13
1258;4;54;ELAX_483.sp;01:06;11;4;E;11;E;4;4;13
1126;4;30;ELAX_92.sp;01:06;3;4;C;3;C;4;5;13
1169;4;96;ELAX_222.sp;01:06;5;4;I;5;H;10;6;13
1146;4;54;ELAX_148.sp;01:06;4;4;E;4;E;4;7;13
1250;4;6;ELAX_464.sp;01:06;11;4;A;11;A;4;8;13
1246;4;78;ELAX_459.sp;01:06;10;4;G;10;G;4;9;13
1090;4;6;ELAX_3.sp;01:06;1;4;A;1;A;4;10;13
1173;4;24;ELAX_233.sp;01:06;6;4;C;6;B;10;11;13
1212;4;66;ELAX_356.sp;01:06;8;4;F;8;F;4;12;13
1201;4;96;ELAX_331.sp;01:06;7;4;I;7;H;10;13;13
1174;4;30;ELAX_235.sp;01:06;6;4;C;6;C;4;14;13
1207;4;36;ELAX_346.sp;01:06;8;4;D;8;C;10;15;13
1176;4;42;ELAX_239.sp;01:06;6;4;D;6;D;4;16;13
